Panasonic DMC-GM1,Panasonic/DMC-GM1/P1360674.RW2,DMC-GM1,200,2.975,6.432,4.273
Panasonic DMC-GM5,Panasonic/DMC-GM5/P1080762.RW2,DMC-GM5,400,1.782,3.190,2.488
Panasonic DMC-GX1,Panasonic/DMC-GX1/_1160044.RW2,DMC-GX1,320,2.083,3.308,1.964
Panasonic DMC-GX7,Panasonic/DMC-GX7/RAW_PANASONIC_DMC-GX-7_11.RW2,DMC-GX7,125,2.291,4.938,3.103
Panasonic DMC-GX8,Panasonic/DMC-GX8/P1020809.RW2,DMC-GX8,200,2.116,3.017,1.956
Panasonic DMC-GX85,Panasonic/DMC-GX85/Panasonic_-_DMC-GX85_-_16:9.RW2,DMC-GX85,200,7.673,15.257,7.110
Panasonic DMC-LF1,Panasonic/DMC-LF1/RAW_PANASONIC_DMC_LF1.RW2,DMC-LF1,80,2.164,4.103,2.810
Panasonic DMC-LX100,Panasonic/DMC-LX100/Lumix_DMC-LX100_1.RW2,DMC-LX100,500,3.353,4.906,2.382
Panasonic DMC-LX15,Panasonic/DMC-LX15/P1000926_3_by_2.RW2,DMC-LX15,125,2.280,3.619,2.341
Panasonic DMC-LX5,Panasonic/DMC-LX5/LX5-16_9.rw2,DMC-LX5,80,2.343,3.338,2.268
Panasonic DMC-LX7,Panasonic/DMC-LX7/1-1.RW2,DMC-LX7,100,3.137,5.806,1.973
Panasonic DMC-TZ100,Panasonic/DMC-TZ100/PanasonicTZ100_AR1-1_1000360.rw2,DMC-TZ100,800,1.893,3.099,2.262
Panasonic DMC-TZ71,Panasonic/DMC-TZ71/RAW_PANASONIC_DMC_TZ71_1-1.RW2,DMC-TZ71,80,2.794,3.471,1.767
Pentax *ist DL,Pentax/ist DL/IMGP0370.PEF,PENTAX *ist DL,200,3.883,2.831,2.677
Pentax *ist DS,Pentax/ist DS/IMGP2333.pef,PENTAX *ist DS,200,3.283,4.298,3.567
Pentax K-1,Pentax/K-1/IMGP8550.PEF,PENTAX K-1,160,1.868,3.169,2.464
Pentax K-1 Mark II,Pentax/K-1 Mark II/_IMG2387.DNG,PENTAX K-1 Mark II,125,2.748,3.470,2.071
Pentax K-3,Pentax/K-3/IMGP6916.DNG,PENTAX K-3,100,2.023,3.666,2.782
Pentax K-3 II,Pentax/K-3 II/20170430-121325.dng,PENTAX K-3 II,100,2.494,4.069,2.963
Pentax K-3 Mark III,Pentax/K-3 Mark III/IMGP9854.PEF,PENTAX K-3 Mark III,800,1.286,5.294,2.143
Pentax K-5,Pentax/K-5/_MAR0543.DNG,PENTAX K-5,160,4.061,3.903,4.470
Pentax K-5 II,Pentax/K-5 II/IMGP2032.DNG,PENTAX K-5 II,500,2.248,3.722,3.626
Pentax K-5 II s,Pentax/K-5 II s/_JAK3776.DNG,PENTAX K-5 II s,400,2.507,4.588,2.183
Pentax K-7,Pentax/K-7/IMGP6297.DNG,PENTAX K-7,3200,2.931,3.611,nan
Pentax K-70,Pentax/K-70/IMGP0771.DNG,PENTAX K-70,100,2.172,3.414,2.178
Pentax K-S1,Pentax/K-S1/20210215_0110.PEF,PENTAX K-S1,100,2.747,3.488,2.102
Pentax K-S2,Pentax/K-S2/IMGP3368.DNG,PENTAX K-S2,1600,1.775,2.344,1.379
Pentax K-m,Pentax/K-m/RAW_PENTAX_K-m.PEF,PENTAX K-m,200,2.538,3.123,2.997
Pentax K-r,PENTAX/PENTAX K-r/IMGP4424.PEF,PENTAX K-r,400,2.952,5.085,3.113
Pentax K-x,Pentax/K-x/IMGP6431.DNG,PENTAX K-x,2000,1.840,2.439,2.383
Pentax K100D,Pentax/K100D/IMGP1754.PEF,PENTAX K100D,200,3.695,3.305,8.282
Pentax K100D Super,Pentax/K100D Super/IMGP8038.PEF,PENTAX K100D Super,200,4.321,3.203,3.728
Pentax K10D,Pentax/K10D/IMGP5398.DNG,PENTAX K10D,100,2.039,3.064,3.161
Pentax K110D,Pentax/K110D/2009.08.15-imgp3224.pef,PENTAX K110D,200,11.513,6.399,5.659
Pentax K200D,Pentax/K200D/IMGP2292.DNG,PENTAX K200D,100,2.586,3.862,2.431
Pentax K20D,Pentax/K20D/IMGP3335.PEF,PENTAX K20D,200,2.385,3.113,2.454
Pentax KP,Pentax/KP/IMGP0236.DNG,PENTAX KP,400,1.263,2.545,1.611
Samsung NX1,Samsung/NX1/2016-07-23-142101_sam_9364.srw,NX1,400,1.996,2.750,2.166
Samsung NX10,Samsung/NX10/SAM_3630.SRW,NX10,100,2.619,3.286,3.100
Samsung NX100,Samsung/NX100/RAW_SAMSUNG_NX100.SRW,NX100,100,2.786,3.935,2.769
Samsung NX1000,Samsung/NX1000/_5169011.SRW,NX1000,400,2.694,4.222,2.795
Samsung WB2000,Samsung/WB2000/SAM_4727.SRW,WB2000,80,2.754,3.449,2.168
Sony DSC-RX1,Sony/DSC-RX1/_DSC0812.ARW,DSC-RX1,100,0.896,1.462,1.067
Sony DSC-RX10,Sony/DSC-RX10/DSC01951.ARW,DSC-RX10,320,2.061,3.498,2.475
Sony DSC-RX100,Sony/DSC-RX100/DSC00838.ARW,DSC-RX100,125,2.723,4.897,3.591
Sony DSC-RX100M2,Sony/DSC-RX100M2/Sony_RX100M2.ARW,DSC-RX100M2,100,2.009,3.295,1.751
Sony DSC-RX100M3,Sony/DSC-RX100M3/DSC00734.ARW,DSC-RX100M3,125,1.830,3.063,2.114
Sony DSC-RX100M4,Sony/DSC-RX100M4/DSC00591.ARW,DSC-RX100M4,125,2.052,4.395,2.252
Sony DSC-RX100M5,Sony/DSC-RX100M5/RAW_SONY_RX100M5.ARW,DSC-RX100M5,125,2.008,3.334,2.319
Sony DSC-RX100M5A,Sony/DSC-RX100M5A/20181014_0082.ARW,DSC-RX100M5A,125,2.024,3.327,2.261
Sony DSC-RX100M6,Sony/DSC-RX100M6/sony_rx100m6_arw-compressed_16:9.arw,DSC-RX100M6,125,1.939,3.263,2.073
Sony DSC-RX100M7,Sony/DSC-RX100M7/DSC00601.ARW,DSC-RX100M7,100,2.081,3.530,2.414
Sony DSC-RX10M2,Sony/DSC-RX10M2/RAW_SONY_RX10M2.ARW,DSC-RX10M2,1250,2.372,3.033,1.587
Sony DSC-RX10M3,Sony/DSC-RX10M3/RAW_SONY_RX10M3.ARW,DSC-RX10M3,100,1.927,4.033,2.994
Sony DSC-RX10M4,Sony/DSC-RX10M4/DSC02484.ARW,DSC-RX10M4,100,4.946,11.677,4.732
Sony DSLR-A200,Sony/DSLR-A200/DSC00108.ARW,DSLR-A200,800,2.587,3.029,nan
Sony DSLR-A230,Sony/DSLR-A230/DSC08026.ARW,DSLR-A230,200,2.729,3.842,6.432
Sony DSLR-A350,Sony/DSLR-A350/DSC05472.ARW,DSLR-A350,200,3.137,3.831,2.011
Sony DSLR-A550,Sony/DSLR-A550/RAW_SONY_A550.ARW,DSLR-A550,3200,2.318,2.875,2.738
Sony DSLR-A580,Sony/DSLR-A580/RAW_SONY_A580.ARW,DSLR-A580,200,1.873,3.196,2.273
Sony DSLR-A700,Sony/DSLR-A700/DSC07249.ARW,DSLR-A700,200,2.526,3.634,3.585
Sony ILCA-68,Sony/ILCA-68/DSC00018.ARW,ILCA-68,250,2.464,3.120,1.766
